category,hours,difficulty,risk,scope,trustScore,creditScore
MOBIL_UYGULAMA,25,5,3,0.85,95,150
TESISAT,18,5,1,0.88,63,123
ELEKTRIK,9,5,3,0.95,47,103
TEMIZLIK,3,1,5,1.19,89,76
MOBIL_UYGULAMA,30,5,2,0.97,95,150
UI_UX,6,2,3,1.09,46,78
ELEKTRIK,10,3,4,0.91,61,99
KOMBI,10,5,3,1.17,45,108
ELEKTRIK,17,4,2,0.96,71,120
WEB_FRONTEND,15,2,1,0.93,91,99
TESISAT,8,4,1,1.11,86,92
GOMULU,23,3,1,1.16,69,130
TEMIZLIK,4,4,4,1.15,82,92
DOGALGAZ,10,1,5,0.94,41,90
KOMBI,10,1,5,1.17,41,92
TESISAT,8,4,4,0.92,88,102
TESISAT,18,2,5,0.88,57,120
WEB_FRONTEND,27,3,2,1.18,46,143
LOGO_TASARIM,14,2,5,1.09,81,113
BACKEND,15,2,2,0.83,44,98
GOMULU,19,5,3,1.0,83,137
BACKEND,36,4,3,1.16,45,150
UI_UX,11,4,2,0.86,59,100
DOGALGAZ,11,2,3,1.18,93,98
WEB_FRONTEND,20,2,4,0.81,89,125
GOMULU,30,1,4,1.19,74,150
UI_UX,10,3,1,0.82,59,86
KLIMA,14,5,5,0.81,91,129
LOGO_TASARIM,7,1,5,1.01,93,86
KOMBI,9,1,3,0.81,49,78
WEB_FRONTEND,18,1,1,0.88,40,97
UI_UX,16,4,5,1.02,85,131
DOGALGAZ,21,4,4,0.85,56,137
ELEKTRIK,17,3,2,0.87,44,110
MOBIL_UYGULAMA,13,1,2,0.97,44,87
KOMBI,15,1,5,0.95,79,108
KOMBI,6,1,5,1.11,76,83
GOMULU,21,5,4,0.94,80,146
KOMBI,16,1,4,1.09,66,108
MOBIL_UYGULAMA,26,1,3,0.99,62,132
ELEKTRIK,10,5,4,1.1,52,112
WEB_FRONTEND,12,1,3,0.9,60,89
BACKEND,30,3,5,1.14,63,150
DOGALGAZ,10,3,2,0.92,65,92
KOMBI,18,2,1,1.13,45,106
MOBIL_UYGULAMA,15,5,3,1.2,44,123
GOMULU,20,2,1,1.05,90,116
BACKEND,26,2,1,0.95,74,131
WEB_FRONTEND,12,1,5,0.84,74,98
WEB_FRONTEND,10,2,4,0.8,63,92
WEB_FRONTEND,12,1,5,1.11,70,100
KOMBI,8,2,2,0.88,85,81
KLIMA,13,1,1,1.03,54,85
KLIMA,7,1,2,1.0,42,69
BACKEND,13,1,1,1.09,54,85
MOBIL_UYGULAMA,16,4,3,0.97,88,122
TEMIZLIK,3,3,1,0.95,51,66
LOGO_TASARIM,12,2,4,1.02,63,100
MOBIL_UYGULAMA,14,4,2,1.09,50,110
DOGALGAZ,9,5,3,0.8,67,104
TEMIZLIK,7,5,2,1.04,43,94
MOBIL_UYGULAMA,21,1,5,1.0,62,125
MOBIL_UYGULAMA,13,3,1,0.84,79,97
UI_UX,15,1,5,0.84,75,107
TEMIZLIK,8,3,2,1.06,93,90
MOBIL_UYGULAMA,29,3,5,0.84,76,150
UI_UX,13,2,1,1.17,45,91
TEMIZLIK,2,3,1,0.97,89,67
TESISAT,10,2,4,1.18,54,95
ELEKTRIK,14,1,4,0.81,83,100
KOMBI,12,2,3,1.09,51,96
MOBIL_UYGULAMA,24,3,2,1.08,64,135
TESISAT,14,1,4,0.93,50,98
TEMIZLIK,5,5,3,1.05,85,96
MOBIL_UYGULAMA,28,5,5,1.08,64,150
DOGALGAZ,18,4,1,1.02,45,117
ELEKTRIK,5,4,1,0.88,72,79
GOMULU,21,5,1,1.06,44,132
DOGALGAZ,11,5,3,1.16,56,112
MOBIL_UYGULAMA,24,2,1,1.01,76,126
TESISAT,8,4,3,1.11,61,97
KOMBI,11,3,1,1.09,62,92
BACKEND,17,5,2,1.2,42,125
WEB_FRONTEND,22,3,4,1.03,92,140
KOMBI,8,1,4,1.13,80,85
GOMULU,27,5,2,0.8,47,150
ELEKTRIK,12,5,5,1.07,67,123
GOMULU,30,3,1,0.91,58,147
GOMULU,28,4,5,0.97,83,150
MOBIL_UYGULAMA,17,5,1,1.11,81,124
WEB_FRONTEND,20,1,5,1.18,83,126
DOGALGAZ,13,4,3,1.05,87,114
BACKEND,18,4,5,0.96,89,136
GOMULU,33,3,5,0.87,86,150
UI_UX,13,3,4,0.93,59,108
MOBIL_UYGULAMA,23,5,5,0.86,51,150
GOMULU,22,3,1,0.83,91,125
ELEKTRIK,13,2,5,1.14,48,107
UI_UX,13,3,1,1.11,80,100
BACKEND,13,3,4,0.91,60,108
TESISAT,8,2,3,0.86,40,81
DOGALGAZ,22,3,2,0.84,94,130
DOGALGAZ,19,1,2,1.2,57,109
KOMBI,10,4,5,1.08,52,110
TEMIZLIK,4,1,1,1.1,91,62
UI_UX,5,1,2,1.11,59,66
WEB_FRONTEND,19,1,4,1.19,46,116
KOMBI,11,3,4,0.84,54,101
LOGO_TASARIM,12,1,1,0.98,69,83
TEMIZLIK,6,5,1,0.84,49,85
KLIMA,15,3,2,1.09,51,107
KOMBI,9,2,1,1.1,51,79
UI_UX,12,1,5,0.86,84,99
MOBIL_UYGULAMA,20,3,4,0.83,87,131
WEB_FRONTEND,21,1,1,1.02,44,108
LOGO_TASARIM,8,5,2,1.04,63,99
BACKEND,31,1,3,0.89,47,145
DOGALGAZ,17,5,2,1.09,43,124
KLIMA,14,5,3,1.02,95,124
WEB_FRONTEND,11,2,5,0.81,54,98
WEB_FRONTEND,15,2,2,1.16,65,103
ELEKTRIK,12,2,2,0.97,77,93
TEMIZLIK,4,2,1,1.02,93,68
TESISAT,12,1,4,1.12,46,94
GOMULU,33,2,2,1.0,62,150
TEMIZLIK,8,3,1,1.16,88,86
KLIMA,7,3,4,0.94,61,90
WEB_FRONTEND,24,5,4,1.0,77,150
BACKEND,22,5,4,0.97,41,146
GOMULU,26,3,2,1.13,61,141
ELEKTRIK,17,1,4,1.19,67,112
WEB_FRONTEND,16,1,2,1.16,95,103
BACKEND,21,5,3,1.19,49,142
WEB_FRONTEND,18,1,1,0.94,90,102
UI_UX,16,4,5,1.09,43,127
TESISAT,7,5,2,1.11,43,94
UI_UX,16,2,3,0.94,56,107
UI_UX,10,3,2,0.93,74,93
GOMULU,14,1,5,0.97,44,102
KLIMA,22,1,4,1.06,68,125
UI_UX,16,3,2,1.06,55,110
ELEKTRIK,5,1,2,0.81,74,64
DOGALGAZ,21,3,5,0.94,50,135
BACKEND,26,1,4,1.09,93,140
KLIMA,22,2,4,0.91,61,129
LOGO_TASARIM,7,3,1,0.86,80,80
KOMBI,7,4,1,0.82,91,86
KLIMA,18,4,2,0.93,73,123
GOMULU,28,5,3,0.97,64,150
MOBIL_UYGULAMA,13,5,2,1.01,92,116
TESISAT,9,1,2,0.89,61,76
MOBIL_UYGULAMA,31,5,3,1.14,67,150
MOBIL_UYGULAMA,19,4,1,0.83,46,118
KLIMA,10,2,4,0.93,75,95
TESISAT,17,1,1,0.87,78,98
GOMULU,23,2,2,1.2,65,128
BACKEND,25,5,3,1.02,85,150
GOMULU,21,2,1,1.01,82,117
KLIMA,16,3,3,0.94,88,116
DOGALGAZ,9,3,4,0.87,92,99
TEMIZLIK,6,2,4,0.94,54,81
KOMBI,11,1,3,1.18,74,90
WEB_FRONTEND,11,3,1,0.81,75,91
ELEKTRIK,8,3,1,0.97,43,80
UI_UX,12,2,3,1.01,91,99
WEB_FRONTEND,10,3,2,0.8,55,90
WEB_FRONTEND,21,1,4,0.94,92,124
MOBIL_UYGULAMA,14,3,2,0.93,51,102
GOMULU,19,5,2,0.99,44,129
MOBIL_UYGULAMA,15,2,3,1.08,41,104
UI_UX,13,1,3,1.09,81,96
TEMIZLIK,2,1,4,1.2,93,69
KOMBI,6,1,5,1.18,74,83
ELEKTRIK,13,3,5,1.17,90,118
KOMBI,14,3,3,0.89,53,106
MOBIL_UYGULAMA,16,1,4,0.84,78,106
TESISAT,15,1,5,0.89,87,109
BACKEND,19,1,5,0.98,90,122
KOMBI,10,2,2,1.16,58,87
BACKEND,26,3,3,1.18,59,146
GOMULU,29,2,1,1.06,66,140
GOMULU,18,5,2,0.8,52,125
UI_UX,8,2,5,1.07,71,94
UI_UX,13,2,3,0.83,48,96
DOGALGAZ,11,2,5,0.96,64,101
DOGALGAZ,18,2,2,0.88,87,112
ELEKTRIK,20,2,2,1.12,93,120
ELEKTRIK,6,5,1,0.87,47,85
LOGO_TASARIM,11,4,4,1.1,42,108
KLIMA,9,1,1,1.2,81,77
DOGALGAZ,13,5,4,1.07,50,121
KOMBI,11,5,1,0.92,83,104
GOMULU,14,5,5,0.96,51,127
DOGALGAZ,19,4,5,1.14,82,141
TEMIZLIK,7,4,4,0.87,43,94
ELEKTRIK,15,1,4,0.83,47,100
GOMULU,30,3,5,1.14,95,150
ELEKTRIK,8,1,1,1.07,61,71
WEB_FRONTEND,18,2,2,0.99,62,110
DOGALGAZ,13,2,5,1.09,52,107
GOMULU,25,1,4,0.82,45,130
ELEKTRIK,9,2,3,0.94,64,87
BACKEND,21,2,4,1.07,50,127
WEB_FRONTEND,12,3,3,1.17,87,106
GOMULU,19,2,3,0.86,73,117
TESISAT,13,4,5,1.2,89,124
TEMIZLIK,5,2,1,0.91,59,66
TESISAT,10,4,1,0.82,73,94
TEMIZLIK,10,1,5,0.85,77,92
TEMIZLIK,2,2,1,1.11,89,62
BACKEND,15,3,3,0.86,78,111
MOBIL_UYGULAMA,27,3,3,0.88,60,146
WEB_FRONTEND,21,5,4,0.99,60,145
TESISAT,13,1,3,0.86,81,94
LOGO_TASARIM,14,3,1,0.91,66,100
KOMBI,11,5,1,1.01,44,102
TEMIZLIK,7,2,3,0.86,83,82
ELEKTRIK,9,3,4,1.08,56,97
KLIMA,19,5,2,1.01,76,133
ELEKTRIK,16,3,4,1.05,83,121
KOMBI,15,1,5,0.85,80,108
LOGO_TASARIM,5,3,3,1.06,72,83
MOBIL_UYGULAMA,27,1,5,1.03,70,144
DOGALGAZ,14,4,2,0.97,63,110
DOGALGAZ,20,5,3,0.9,95,140
ELEKTRIK,10,5,1,0.95,84,102
LOGO_TASARIM,13,5,4,1.1,40,120
LOGO_TASARIM,4,3,2,1.13,51,74
KOMBI,20,2,5,0.85,44,125
WEB_FRONTEND,22,5,2,1.03,88,143
LOGO_TASARIM,14,3,4,0.86,82,113
ELEKTRIK,17,2,4,0.95,44,113
DOGALGAZ,10,5,5,1.0,76,118
GOMULU,27,4,4,0.88,66,150
WEB_FRONTEND,13,5,3,0.86,44,114
KOMBI,14,3,5,0.87,45,113
WEB_FRONTEND,22,3,2,1.02,61,128
ELEKTRIK,5,2,5,0.82,94,85
KLIMA,9,1,5,0.94,89,91
KLIMA,14,4,2,0.89,52,108
KOMBI,10,3,1,0.98,66,88
TESISAT,11,2,4,0.88,87,98
TESISAT,5,4,2,0.87,75,83
GOMULU,30,4,5,1.17,87,150
UI_UX,14,5,5,0.98,65,128
GOMULU,14,3,4,1.17,82,116
KLIMA,11,5,4,1.06,58,115
UI_UX,4,3,3,1.04,54,78
KLIMA,19,1,2,0.96,86,109
WEB_FRONTEND,17,4,1,0.89,72,115
MOBIL_UYGULAMA,21,2,4,0.97,56,126
DOGALGAZ,20,3,4,0.99,45,128
MOBIL_UYGULAMA,17,1,4,0.97,66,109
ELEKTRIK,19,2,3,0.81,73,116
TESISAT,9,1,2,0.81,58,75
GOMULU,14,4,2,1.18,93,115
GOMULU,25,5,2,1.1,56,150
MOBIL_UYGULAMA,28,5,4,1.15,60,150
MOBIL_UYGULAMA,29,1,5,1.1,40,148
KLIMA,11,4,3,0.97,42,103
WEB_FRONTEND,23,4,2,0.81,40,133
DOGALGAZ,14,5,2,0.94,92,119
KOMBI,10,3,5,1.06,81,107
TESISAT,11,1,3,0.98,81,89
ELEKTRIK,14,1,2,0.9,88,94
MOBIL_UYGULAMA,21,4,1,0.97,95,130
LOGO_TASARIM,5,5,2,0.93,73,90
DOGALGAZ,21,3,5,1.05,87,140
ELEKTRIK,11,1,5,0.81,95,97
DOGALGAZ,20,4,5,0.93,62,140
KLIMA,7,2,2,1.1,44,76
LOGO_TASARIM,14,2,5,0.81,52,107
KOMBI,17,1,3,1.2,57,107
LOGO_TASARIM,6,4,2,1.07,46,85
GOMULU,17,5,2,0.99,85,127
DOGALGAZ,17,1,2,0.86,78,101
LOGO_TASARIM,13,2,5,1.08,93,111
LOGO_TASARIM,12,1,2,0.89,79,87
ELEKTRIK,8,5,2,1.01,86,101
WEB_FRONTEND,16,1,1,0.96,55,93
LOGO_TASARIM,4,2,4,1.06,40,75
KLIMA,6,3,2,0.85,47,77
DOGALGAZ,9,4,2,0.82,89,96
ELEKTRIK,15,3,4,0.99,44,113
KLIMA,20,1,4,1.15,62,120
BACKEND,19,5,1,0.81,87,128
LOGO_TASARIM,5,4,2,1.11,89,87
BACKEND,27,1,3,0.86,80,136
WEB_FRONTEND,26,3,1,0.86,80,137
UI_UX,9,4,1,0.92,42,88
MOBIL_UYGULAMA,23,3,2,1.17,58,132
ELEKTRIK,18,4,5,0.87,59,133
UI_UX,6,4,5,0.87,83,99
BACKEND,27,2,5,1.16,86,150
GOMULU,33,3,4,0.8,59,150
TEMIZLIK,5,4,1,0.83,52,76
UI_UX,13,1,1,0.96,54,84
UI_UX,11,3,5,1.13,59,108
KLIMA,12,5,1,1.03,68,107
UI_UX,8,5,5,0.87,70,110
KOMBI,12,5,5,1.05,76,124
ELEKTRIK,19,1,3,0.91,49,109
DOGALGAZ,17,3,5,1.17,74,128
LOGO_TASARIM,6,1,4,0.82,53,74
UI_UX,13,4,1,1.17,87,107
TEMIZLIK,9,1,3,0.89,46,78
KLIMA,12,1,3,1.06,76,92
KLIMA,22,5,2,0.94,88,142
KLIMA,10,4,1,1.19,84,98
TEMIZLIK,3,3,5,0.97,94,86
TEMIZLIK,6,2,2,1.01,47,73
DOGALGAZ,12,1,5,1.2,73,101
GOMULU,24,4,1,0.91,83,137
DOGALGAZ,10,4,3,0.95,44,100
GOMULU,29,5,1,1.08,88,150
DOGALGAZ,22,4,2,0.99,64,134
